role,required_skills
Software Engineer,Python|Data Structures|Algorithms|Git|Problem Solving|Teamwork
Frontend Developer,React|JavaScript|HTML|CSS|UI Design|Communication
Backend Developer,Python|FastAPI|REST APIs|Databases|Problem Solving
Data Analyst,SQL|Excel|Power BI|Data Analysis|Communication
Data Scientist,Python|Machine Learning|Statistics|Data Visualization|Analytical Thinking
Product Manager,Leadership|Communication|Stakeholder Management|Decision Making|Roadmapping
Business Analyst,Excel|Power BI|Requirement Analysis|Business Acumen|Critical Thinking
UI/UX Designer,Figma|UX Design|Wireframing|Creativity|User Research
Project Manager,Agile|Scrum|Leadership|Time Management|Risk Management
HR Executive,Communication|Negotiation|Conflict Resolution|Emotional Intelligence
Operations Manager,Process Optimization|Leadership|Decision Making|Analytical Thinking
